Donation Indicator,Donation Frequency,Average Donation,Digital Engagement Score,Last Donation Recency,Donation Amount Predicted,Wealth Index,Event Participation,DonorID,axio_segment_number
True,9,117.82,84,1,177.18,78,Medium,0,0
True,6,136.37,74,0,159.33,51,High,1,0
True,7,118.78,72,2,109.2,77,High,2,0
True,7,148.97,83,1,250.77,25,High,3,0
True,6,118.62,87,2,172.74,72,Medium,4,0
True,8,205.84,98,2,163.68,5,Medium,5,0
True,6,256.58,72,0,112.43,54,Medium,6,0
True,6,114.28,75,2,146.33,26,High,7,0
True,7,113.52,77,2,105.29,89,Medium,8,0
True,7,101.21,80,3,102.84,37,High,9,0
True,7,134.3,86,2,116.12,19,High,10,0
True,10,124.74,99,2,109.71,75,Medium,11,0
True,13,104.2,98,2,100.44,86,High,12,0
True,6,138.47,83,2,149.99,33,Medium,13,0
True,10,271.08,99,3,105.11,98,High,14,0
True,8,136.04,81,1,138.25,20,Medium,15,0
True,9,179.71,78,2,107.66,45,High,16,0
True,8,121.84,70,1,273.41,14,High,17,0
True,5,198.4,70,2,114.76,34,Low,18,0
True,6,142.45,90,3,115.0,81,Medium,19,0
True,6,238.67,99,3,105.21,46,High,20,0
True,5,118.0,75,2,128.91,28,High,21,0
True,6,131.28,99,0,134.2,27,Medium,22,0
True,7,142.27,77,0,173.0,93,High,23,0
True,10,135.58,82,3,108.22,46,High,24,0
True,6,218.68,100,1,102.78,23,Medium,25,0
True,11,140.38,82,1,188.73,44,High,26,0
True,9,124.21,95,3,178.6,13,High,27,0
True,6,110.69,80,1,122.25,29,High,28,0
True,10,117.34,97,2,135.91,35,High,29,0
True,8,108.85,90,2,292.0,20,Medium,30,0
True,12,269.74,86,2,268.51,18,High,31,0
True,12,121.04,77,1,136.68,49,High,32,0
True,6,108.53,75,1,106.82,37,High,33,0
True,10,143.21,96,1,230.82,75,High,34,0
True,9,111.75,78,1,197.05,89,High,35,0
True,7,121.1,84,2,155.77,83,Medium,36,0
True,12,119.66,78,1,105.89,48,High,37,0
True,10,124.69,75,3,130.57,19,Medium,38,0
True,10,116.61,84,2,116.89,48,High,39,0
True,15,142.56,98,3,151.84,72,High,40,0
True,8,170.62,87,3,155.24,25,High,41,0
True,9,114.78,90,3,279.55,88,High,42,0
True,8,118.32,89,1,124.41,82,High,43,0
True,9,120.06,97,2,118.6,31,High,44,0
True,8,102.69,98,2,107.77,59,High,45,0
True,5,136.16,84,3,101.42,100,Low,46,0
True,8,101.23,83,3,110.67,1,High,47,0
True,6,105.74,77,3,102.25,46,High,48,0
True,7,159.06,86,0,129.24,44,High,49,0
True,7,118.72,76,3,144.45,75,High,50,0
True,9,122.29,91,2,109.17,64,High,51,0
True,6,134.38,94,1,117.2,9,High,52,0
True,5,126.99,96,2,113.07,7,Low,53,0
True,10,159.82,71,2,103.33,58,Medium,54,0
True,10,119.15,81,1,234.91,65,High,55,0
True,7,114.99,98,2,122.11,47,Medium,56,0
True,7,113.09,83,3,112.52,30,Medium,57,0
True,7,100.93,71,3,155.51,12,Medium,58,0
True,7,101.7,76,2,129.75,41,Medium,59,0
True,8,132.83,79,2,130.99,34,High,60,0
True,8,127.78,97,1,134.22,41,High,61,0
True,7,246.95,98,3,101.83,4,Medium,62,0
True,10,103.32,100,3,181.73,50,Medium,63,0
True,5,109.87,90,2,109.71,96,Low,64,0
True,12,135.99,76,1,106.16,85,High,65,0
True,10,151.65,80,1,126.77,26,Medium,66,0
True,11,102.29,71,3,122.22,75,High,67,0
True,8,110.57,99,3,140.33,3,High,68,0
True,9,106.51,96,0,101.63,49,High,69,0
True,8,144.09,83,2,241.33,81,High,70,0
True,7,124.6,79,1,156.54,43,High,71,0
True,6,104.39,85,2,102.12,3,High,72,0
True,12,135.38,77,1,102.14,57,High,73,0
True,6,129.66,83,1,103.63,22,High,74,0
True,6,131.76,76,0,112.52,65,High,75,0
True,6,232.3,82,2,290.83,35,Medium,76,0
True,6,160.1,71,2,170.91,63,High,77,0
True,6,146.44,79,3,103.8,28,High,78,0
True,6,133.15,84,1,107.22,64,Medium,79,0
True,6,100.2,83,3,139.84,19,Medium,80,0
True,6,269.3,81,1,113.76,30,High,81,0
True,8,164.53,96,2,168.34,85,Medium,82,0
True,6,114.44,83,1,134.48,26,High,83,0
True,6,125.1,79,1,221.99,85,Medium,84,0
True,10,164.15,86,3,154.41,52,High,85,0
True,10,109.35,87,2,111.18,59,Medium,86,0
True,8,169.46,72,1,122.84,17,Medium,87,0
True,8,149.21,96,3,101.83,28,High,88,0
True,6,110.68,100,3,326.59,72,High,89,0
True,7,132.96,99,3,105.82,74,High,90,0
True,10,105.27,97,2,140.6,90,Medium,91,0
True,11,107.24,98,1,116.13,46,High,92,0
True,6,105.8,93,2,164.44,38,High,93,0
True,9,189.69,76,2,124.27,78,High,94,0
True,11,120.51,91,3,107.99,90,High,95,0
True,6,172.1,98,1,169.27,47,High,96,0
True,10,105.76,95,2,196.96,26,Medium,97,0
True,11,170.24,82,2,160.99,25,High,98,0
True,7,165.42,86,1,155.47,69,Medium,99,0
True,9,297.83,73,1,122.41,40,High,100,0
True,9,226.33,99,1,175.1,61,Medium,101,0
True,6,231.23,71,1,140.1,68,Medium,102,0
True,7,141.75,83,1,166.58,79,High,103,0
True,6,148.6,73,1,171.93,50,Medium,104,0
True,8,132.76,93,2,159.64,81,High,105,0
True,10,125.82,73,1,117.19,79,High,106,0
True,6,150.5,99,1,118.95,94,Medium,107,0
True,10,133.56,77,2,133.48,87,High,108,0
True,10,117.37,99,3,105.73,41,Medium,109,0
True,9,192.22,98,2,116.3,15,Medium,110,0
True,6,140.83,72,1,115.51,65,High,111,0
True,6,138.42,84,2,115.73,80,High,112,0
True,10,130.3,93,2,175.37,62,Medium,113,0
True,10,157.94,89,3,116.19,97,Medium,114,0
True,6,191.9,82,2,156.21,16,High,115,0
True,10,159.1,76,0,145.94,29,Medium,116,0
True,10,141.5,73,3,157.45,5,High,117,0
True,9,112.34,80,1,111.64,96,Medium,118,0
True,8,112.57,96,2,147.37,63,High,119,0
True,7,129.04,84,1,131.6,80,Medium,120,0
True,8,120.01,79,3,108.61,18,High,121,0
True,7,111.32,87,1,110.02,10,High,122,0
True,10,102.39,76,2,183.83,76,High,123,0
True,6,108.0,93,3,119.03,27,High,124,0
True,9,118.36,95,1,167.2,55,Medium,125,0
True,7,118.94,83,3,126.87,40,High,126,0
True,10,159.04,84,2,118.11,24,Medium,127,0
True,8,120.36,99,3,112.4,77,Medium,128,0
True,6,112.62,71,3,156.93,40,High,129,0
True,6,120.89,97,3,105.6,27,Medium,130,0
True,7,109.11,91,1,110.56,31,High,131,0
